Hardware,Model,Batch,Utilization_Pct,Attained_TOPS,Latency_ms,Throughput_FPS,Energy_per_Inf_mJ,Peak_Memory_MB
H100,ResNet18,1,10.2,6.12,0.43,2318,48.89,55.0
H100,ResNet18,4,19.0,11.40,0.69,5815,21.11,86.0
H100,ResNet18,8,22.3,13.38,1.03,7733,16.54,127.3
H100,ResNet18,16,24.7,14.82,1.73,9260,14.26,210.0
H100,ResNet18,32,26.4,15.84,3.11,10274,13.12,375.4
H100,ResNet18,64,27.6,16.56,5.89,10869,12.55,706.3
H100,ResNet50,1,9.8,5.88,1.14,878,130.09,140.6
H100,ResNet50,4,19.8,11.88,1.90,2104,59.27,269.2
H100,ResNet50,8,23.8,14.28,2.93,2733,47.60,440.7
H100,ResNet50,16,26.7,16.02,4.98,3213,41.76,783.7
H100,ResNet50,32,28.5,17.10,9.09,3522,38.85,1469.7
H100,ResNet50,64,29.6,17.76,17.30,3700,37.39,2841.7
TPU-v4,ResNet18,1,8.7,11.96,0.57,1766,62.09,55.0
TPU-v4,ResNet18,4,20.8,28.60,1.77,2259,48.77,86.0
TPU-v4,ResNet18,8,24.4,33.55,3.45,2320,47.49,127.3
TPU-v4,ResNet18,16,24.5,33.69,5.84,2742,40.49,210.0
TPU-v4,ResNet18,32,24.6,33.83,10.67,2998,37.20,375.4
TPU-v4,ResNet18,64,25.1,34.52,16.98,3768,30.03,706.3
TPU-v4,ResNet50,1,7.0,9.63,2.36,423,255.58,140.6
TPU-v4,ResNet50,4,15.4,21.17,7.89,507,213.89,269.2
TPU-v4,ResNet50,8,21.7,29.84,14.51,551,197.13,440.7
TPU-v4,ResNet50,16,22.6,31.08,22.79,702,156.13,783.7
TPU-v4,ResNet50,32,23.0,31.63,36.55,876,126.50,1469.7
TPU-v4,ResNet50,64,23.1,31.77,58.29,1098,102.18,2841.7
